38;180178,63
20170519;6395,62;Pendiente;0150030657928857228740;0170031101592753661001
20170518;6944,37;Pendiente;0150030657928857228740;0170036700520044881001
20170517;-8320,20;Anulada;0150030657928857228740;0170056700582092931001
20170519;7051,26;Pendiente;0150030657928857228740;0170066700598296371001
20170518;6845,62;Pendiente;0150030657928857228740;0170082301554362311001
20170517;7078,29;Pendiente;0150030657928857228740;0170086700537472031001
20170519;11019,53;Pendiente;0150030657928857228740;0170086700554362311001
20170518;8845,62;Pendiente;0150030657928857228740;0170087101537472031001
20170517;-117,00;Anulada;0150030657928857228740;0180003501586406781001
20170519;11047,71;Pendiente;0150030657928857228740;0180006700042960003003
20170518;8891,12;Pendiente;0150030657928857228740;0180006700794626003003
20170517;-1664,04;Anulada;0150031094704296018910;0150030225449539467721
20170519;11045,95;Pendiente;0150031094704296018910;0150080225154044587721
20170518;-968,09;Anulada;0150031094704296018910;0150080225640678333455
20170517;2907,54;Pendiente;0150031094704296018910;0160050225582092937721
20170519;11043,78;Pendiente;0150031094704296018910;0160080225537472037721
20170518;-5551,68;Anulada;0150031094704296018910;0160080225554362317721
20170517;2999,70;Pendiente;0150031094704296018910;0170056700582092931233
20170519;11042,22;Pendiente;0150031094704296018910;0170082301554362311233
20170519;6626,08;Pendiente;0150031094704296018910;0170086700537472031233
20170518;5195,63;Pendiente;0150031094704296018910;0170086700554362311233
20170517;19623,63;Pendiente;0150031094704296018910;0170087101537472031233
20170519;6705,08;Pendiente;0150080225533640351700;0160032580216161230675
20170518;6112,10;Pendiente;0150080225533640351700;0160040225578239703265
20170517;-1534,81;Anulada;0150080225533640351700;0180086700825735000545
20170519;6705,08;Pendiente;0150080225533640351700;0230000501502161612307
20170518;6112,10;Pendiente;0150080225533640351700;0230000501555353481797
20170517;5519,12;Pendiente;0150080225533640351700;0230004601555254078899
20170519;4926,14;Pendiente;0150080225533640351700;0230010501521540445863
20170518;4333,16;Pendiente;0150080225533640351700;0230017501556850772537
20170517;3740,18;Pendiente;0150080225533640351700;0230026301579288572289
20170519;3147,20;Pendiente;0150080225533640351700;0230028501544847505561
20170518;2554,22;Pendiente;0150080225533640351700;0230030001546271684325
20170517;1961,24;Pendiente;0150080225533640351700;0230031501504505826381
20170519;1368,26;Pendiente;0150080225533640351700;0230032201590686732781
20170518;775,28;Pendiente;0150080225533640351700;0230045501578239703265
20170517;182,30;Pendiente;0150080225533640351700;0230059501570429601899
20170519;-410,68;Anulada;0150080225533640351700;0230087101514495394643
